Name,Sex,Country,Swim time,Time T1,Cycle time,Time T2,Run time,Total time,T-shirt,Finish at,Swim distance,Bike distance,Run distance,Year
Christian Houge-Thiis,Male,Norway,0 days 00:52:00,0 days 00:02:08,0 days 06:40:00,0 days 00:02:08,0 days 05:12:13,0 days 12:48:28,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Mathias  Rasch-Halvorsen,Male,Norway,0 days 01:14:00,0 days 00:03:30,0 days 06:59:00,0 days 00:03:30,0 days 04:52:30,0 days 13:12:30,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
BjÃ¸rn  Wigdel,Male,Norway,0 days 00:49:50,0 days 00:02:55,0 days 07:13:00,0 days 00:02:55,0 days 06:47:43,0 days 14:56:23,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Tom B Mikalsen,Male,Norway,0 days 01:12:00,0 days 00:06:00,0 days 07:52:00,0 days 00:06:00,0 days 05:51:56,0 days 15:07:56,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
BjÃ¸rn-Thomas Stenersen,Male,Norway,0 days 01:18:40,0 days 00:10:00,0 days 07:30:00,0 days 00:10:00,0 days 06:01:07,0 days 15:09:47,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Pascal MÃ¸rch,Male,Norway,0 days 01:22:00,0 days 00:10:45,0 days 07:58:00,0 days 00:10:45,0 days 05:44:46,0 days 15:26:16,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Nicolas WÃ¦renskjold,Male,Norway,0 days 01:28:00,0 days 00:07:00,0 days 07:22:00,0 days 00:07:00,0 days 06:28:39,0 days 15:32:39,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Einar Idland,Male,Norway,0 days 01:18:30,0 days 00:05:30,0 days 07:29:00,0 days 00:05:30,0 days 06:34:09,0 days 15:32:39,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Knut Vidar Rognli,Male,Norway,0 days 01:21:00,0 days 00:11:00,0 days 07:58:00,0 days 00:11:00,0 days 05:59:22,0 days 15:40:22,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Fredrik Mandt,Male,Norway,0 days 01:29:00,0 days 00:04:00,0 days 07:47:00,0 days 00:04:00,0 days 06:19:10,0 days 15:43:10,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
HÃ¥rek Stranheim,Male,Norway,0 days 01:13:00,0 days 00:04:30,0 days 07:50:00,0 days 00:04:30,0 days 06:32:34,0 days 15:44:34,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Jan Wilhelm Werner,Male,Norway,0 days 01:20:00,0 days 00:06:30,0 days 08:25:00,0 days 00:06:30,0 days 06:05:55,0 days 16:03:55,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Guy M. Huste,Male,Norway,0 days 01:04:00,0 days 00:12:30,0 days 07:37:00,0 days 00:12:30,0 days 07:32:15,0 days 16:38:15,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Ole RÃ¸nningen,Male,Norway,0 days 01:08:00,0 days 00:05:00,0 days 07:41:00,0 days 00:05:00,0 days 07:51:52,0 days 16:50:52,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Thor SÃ¸dal,Male,Norway,0 days 01:58:00,0 days 00:09:30,0 days 08:59:00,0 days 00:09:30,0 days 06:09:20,0 days 17:25:20,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Clive Hough,Male,Norway,0 days 00:53:00,0 days 00:10:00,0 days 07:55:00,0 days 00:10:00,0 days 09:04:38,0 days 18:12:38,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
Jone Tveitane,Male,Norway,0 days 01:04:00,0 days 00:06:30,0 days 08:26:00,0 days 00:06:30,0 days 08:32:43,0 days 18:15:43,Black,Gaustatoppen,3800.0,180.0,42.0,2003.0
